Designator,Mid X,Mid Y,Layer,Rotation
C1,25.781,-155.448,Top,90
C2,26.797,-155.448,Top,90
C3,27.841,-155.42,Top,90
C4,33.683,-163.449,Top,0
C5,33.683,-162.433,Top,0
C6,32.004,-164.183,Top,-90
C7,34.006,-158.087,Top,-90
C8,34.417,-161.036,Top,0
C9,33.5,-159.639,Top,0
C10,35.629,-155.547,Top,180
C11,21.745,-152.781,Top,180
C12,24.285,-152.781,Top,180
C13,26.444,-152.781,Top,180
C14,28.702,-152.781,Top,180
C15,30.889,-152.781,Top,180
C16,33.048,-152.781,Top,180
C17,35.334,-152.781,Top,180
C18,37.592,-152.781,Top,180
J1,35.941,-167.132,Top,-90
J2,20.828,-148.082,Top,90
R1,32.99,-158.087,Top,-90
R2,33.498,-156.563,Top,0
R3,35.655,-156.563,Top,180
R4,22.352,-151.13,Top,-90
R5,24.765,-151.005,Top,-90
R6,26.924,-151.003,Top,-90
R7,29.083,-151.003,Top,-90
R8,31.242,-151.003,Top,-90
R9,33.401,-151.003,Top,-90
R10,35.687,-151.003,Top,-90
R11,37.973,-151.005,Top,-90
U1,29.099,-160.0445,Top,180
