Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",27.419000,-192.278000,0.000000,top
"C2","0.1u","C_0402_1005Metric",17.173000,-191.008000,0.000000,top
"C3","0.1u","C_0402_1005Metric",27.404000,-190.754000,0.000000,top
"C4","10u","C_0603_1608Metric",18.232000,-168.275000,90.000000,top
"C5","0.1u","C_0402_1005Metric",18.260000,-170.307000,180.000000,top
"C6","0.1u","C_0402_1005Metric",17.145000,-177.165000,0.000000,top
"C7","1u","C_0402_1005Metric",18.204000,-171.323000,0.000000,top
"C8","1u","C_0402_1005Metric",18.232000,-173.355000,180.000000,top
"C9","4.7n","C_0402_1005Metric",23.947000,-168.783000,0.000000,top
"C10","4.7n","C_0402_1005Metric",20.391000,-168.783000,0.000000,top
"C11","0.1u","C_0402_1005Metric",18.204000,-172.339000,180.000000,top
"C12","0.1u","C_0402_1005Metric",28.194000,-177.165000,-90.000000,top
"C13","10u","C_0603_1608Metric",26.048000,-177.165000,0.000000,top
"C14","1u","C_0402_1005Metric",26.614000,-173.637000,90.000000,top
"C15","1u","C_0402_1005Metric",26.106000,-172.212000,0.000000,top
"C16","0.1u","C_0402_1005Metric",25.598000,-173.637000,90.000000,top
"C17","1.5n","C_0402_1005Metric",26.995000,-170.688000,90.000000,top
"C18","1n","C_0402_1005Metric",27.126000,-168.807000,90.000000,top
"C19","1n","C_0402_1005Metric",22.197000,-166.116000,180.000000,top
"C20","1n","C_0402_1005Metric",20.038000,-166.116000,180.000000,top
"C21","1n","C_0402_1005Metric",24.427000,-166.116000,0.000000,top
"C22","1n","C_0402_1005Metric",17.851000,-166.116000,180.000000,top
"FB1","FerriteBead_Small","L_0603_1608Metric",29.845000,-179.425500,-90.000000,top
"FB2","FerriteBead_Small","L_0603_1608Metric",29.845000,-176.022000,90.000000,top
"R1","4.7k","R_0402_1005Metric",25.398000,-190.754000,180.000000,top
"R2","4.7k","R_0402_1005Metric",24.074000,-175.514000,0.000000,top
"R3","1M","R_0402_1005Metric",25.979000,-170.714000,90.000000,top
"R4","2.2k","R_0402_1005Metric",25.983000,-168.781000,90.000000,top
"R5","2.2k","R_0402_1005Metric",23.947000,-163.324000,90.000000,top
"R6","2.2k","R_0402_1005Metric",21.407000,-163.324000,90.000000,top
"R7","2.2k","R_0402_1005Metric",26.360000,-163.324000,90.000000,top
"R8","2.2k","R_0402_1005Metric",18.994000,-163.324000,90.000000,top
"U1","ISOW7741","SOIC-20W_7.5x12.8mm_P1.27mm",22.352000,-184.150000,90.000000,top
"U2","ADS1292IRSMR","VQFN-32-1EP_4x4mm_P0.4mm_EP2.8x2.8mm",22.058000,-172.129500,-90.000000,top
